key;ref;value;
title;Peace of mind to find<br>the right solution;L'assurance de trouver<br>la bonne solution
popItems_clindaseptin_span;;<div class="textgrey"><b>Clindamycine</b>, en solution buvable<br>ou comprimés sécables</div>
popItems_clindaseptin_span;;<table>
popItems_clindaseptin_span;;<tr><td>Clindaseptin 25 mg</td><td>Flacon de 20 ml de solution buvable</td></tr>
popItems_clindaseptin_span;;<tr><td>Clindaseptin 75 mg</td><td>Pots de 10 ou 20 comprimés</td></tr>
popItems_clindaseptin_span;;<tr><td>Clindaseptin 150 mg</td><td>Pots de 10 ou 20 comprimés</td></tr>
popItems_clindaseptin_span;;<tr><td>Clindaseptin 300 mg</td><td>Pots de 10 ou 20 comprimés</td></tr>
popItems_clindaseptin_span;;</table>
;;
popItems_oridermyl_title;Oridermyl®;Oridermyl®
popItems_oridermyl_id;oridermyl;oridermyl
popItems_oridermyl_list;;Formule <b class="grey">complète</b>: Perméthrine,<br>néomycine, nystatine, triamcinolone
popItems_oridermyl_list;;Taille de tubes adaptée aux <b class="grey">otites aigües ou chroniques</b> : Tubes de 10 ou 30 g
popItems_oridermyl_list;;<b class="grey">Observance</b> facilitée par l’application<br><b class="grey">une seule fois par jour</b>
popItems_oridermyl_list;;Praticité grâce à <b class="grey">la canule souple<br>et atraumatique</b>
;;
popItems_marbocyl_title;Marbocyl®;Marbocyl®
popItems_marbocyl_id;marbocyl;marbocyl
popItems_marbocyl_span;;<div class="textgrey"><b class="grey">Marbofloxacine</b><br>en flacon <b class="grey">injectable</b> (IV, SC)<br>ou comprimés <b class="grey">appétents</b> et sécables</div>
popItems_marbocyl_span;;<table>
popItems_marbocyl_span;;<tr><td>Marbocyl FD</td><td>Flacon de 20 ml IV ou SC</td></tr>
popItems_marbocyl_span;;<tr><td>MARBOCYL 5 mg</td><td>10, 100, 250 comprimés</td></tr>
popItems_marbocyl_span;;<tr><td>MARBOCYL 20 mg</td><td>10, 100, 250 comprimés</td></tr>
popItems_marbocyl_span;;<tr><td>MARBOCYL 80 mg</td><td>12, 72, 240 comprimés</td></tr>
popItems_marbocyl_span;;</table>
popItems_marbocyl_span;;<div class="bluebulle">10 AMM</div>
;;
popItems_fluidixine_title;Fluidixine®;Fluidixine®
popItems_fluidixine_id;fluidixine;fluidixine
popItems_fluidixine_list;;Association d’antibiotique de <b class="grey">première intention</b> et de <b class="grey">mucolytique</b> : amoxicilline + N acétyl-cystéine
popItems_fluidixine_list;;Formule exclusive pour les infections<br>rhino-trachéo-broncho pulmonaires
popItems_fluidixine_list;;Présentation <b class="grey">économique</b> en comprimés
popItems_fluidixine_span;;<table>
popItems_fluidixine_span;;<tr><td>FLUIDIXINE<br>CHAT - CHIEN NAIN</td><td>Boîte de 20 cp</td><td>1 cp pour 2,5 kg<br>matin et soir</td><td>10 jours de traitement<br>pour un chat de 5 kg</td></tr>
popItems_fluidixine_span;;<tr><td>FLUIDIXINE<br>CHIEN</td><td>Boîte de 16 cp</td><td>1 cp pour 10 kg<br>matin et soir</td><td>8 jours de traitement<br>pour un chat de 10 kg</td></tr>
popItems_fluidixine_span;;</table>
;;
popItems_aurizon_title;Aurizon®;Aurizon®
popItems_aurizon_id;aurizon;aurizon
popItems_aurizon_list;;Formule de <b class="grey">référence</b> : Marbofloxacine, clotrimazole, dexaméthasone
popItems_aurizon_list;;Taille de flacons adaptée aux <b class="grey">otites aigües ou chroniques</b> : Flacons de 10 ou 20 ml
popItems_aurizon_list;;<b class="grey">Observance</b> facilitée par l’application<br><b class="grey">une seule fois par jour</b>
popItems_aurizon_list;;Praticité grâce à la <b class="grey">canule souple<br>et atraumatique</b>
;;
popItems_cefaseptin_title;Cefaseptin®;Cefaseptin®
popItems_cefaseptin_id;cefaseptin;cefaseptin
popItems_cefaseptin_list;;<b class="grey">Céfalexine</b> en comprimés<br><b class="grey">bi ou quadri-sécables</b>
popItems_cefaseptin_list;;Hautement <b class="grey">appétente</b>
popItems_cefaseptin_list;;3 dosages : 75, 300 et 750 mg
popItems_cefaseptin_list;;Boîtes de 200 comprimés
popItems_cefaseptin_list;;Notices et pochettes de fractionnement pour une <b class="grey">prescription plus simple</b>
;;
popItems_septotryl_title;Septotryl®;Septotryl®
popItems_septotryl_id;septotryl;septotryl
popItems_septotryl_list;;<b class="grey">Sulfaméthoxypyridazine-triméthroprime</b><br>en comprimés enrobés
popItems_septotryl_list;;<b class="grey">Association bactéricide de 1ère intention au spectre large</b> : Infections respiratoires, digestives, urinaires, septicémies<div class="popBtn" data-popin="popin1">i</div>
popItems_septotryl_list;;Indication sur les <b class="grey">SARM</b> (hors AMM) <b class="grey">en dermatologie</b>
popItems_septotryl_list;;<b class="grey">Traitement économique</b>
popItems_septotryl_list;;<b class="grey">Observance facilitée</b> grâce à une prise par jour
popItems_septotryl_list;;pression de sélection plus faible
popItems_septotryl_span;;<table>
popItems_septotryl_span;;<tr><td>SEPTOTRYL CHAT - CHIEN NAIN</td><td>Boîte de 20 cp</td><td>1 cp pour 2 kg</td><td>10 jours de traitement pour un chat de 4 kg</td></tr>
popItems_septotryl_span;;<tr><td>SEPTOTRYL CHIEN</td><td>Boîte de 16 cp</td><td>1 cp pour 10 kg</td><td>10 jours de traitement pour un chat de 4 kg</td></tr>
popItems_septotryl_span;;</table>
;;
popItems_predniderm_title;Predniderm®;Predniderm®
popItems_predniderm_id;predniderm;predniderm
popItems_predniderm_list;;Association antibiotique <b>large spectre</b> et <b>anti-inflammatoire</b> : néomycine + acétate de prednisolone
popItems_predniderm_list;;Observance facilitée par la <b>texture fluide</b> plébiscitée par les propriétaires
popItems_predniderm_list;;Lotion à appliquer 2 à 3 fois par jour en <b>léger massage</b>
popItems_predniderm_list;;<b>Flacons de 60 ou 120 ml</b> pour toutes les durées de traitement et tailles de lésions
;;
popItems2_guide_title;;Guide de bonnes pratiques<br>ANSES/AFVAC
;;
popItems2_guide_text_col1_title;;Association antibiotique préconisée<br>en 1ère intention pour :
popItems2_guide_text_col1_list;;<b>Pyodermites superficielles et profondes</b> chez le chien
popItems2_guide_text_col1_list;;<b>Bronchopneumonies</b> chez le chien et le chat
popItems2_guide_text_col1_list;;<b>Affections pleurales bactériennes a coques</b> chez le chien et le chat
popItems2_guide_text_col1_list;;<b>Mammites bactériennes</b> chez le chien et le chat à pH < 7,4 et gram -
popItems2_guide_text_col1_list;;<b>Vaginite bactérienne brucellique</b> chez la chienne et la chatte
popItems2_guide_text_col1_list;;<b>Prostatite chronique</b> du chien
popItems2_guide_text_col1_list;;<b>Orchites et épidydimites bactériennes</b> chez le chien et le chat
popItems2_guide_text_col1_list;;<span class="blue"><b>Sepsis et choc septique</b> chez le chien et le chat</span>
popItems2_guide_text_col1_list;;<b>Infections urinaires</b> chez le chien et le  chat
popItems2_guide_text_col1_list;;<b>Cancérologie, ttm adjuvant</b>des animaux sous chimiothérapie grade 1 et 2
;;
popItems2_guide_text_col2_title;;En 2ème intention pour :
popItems2_guide_text_col2_list;;<span class="blue"><b>Entérites aigues</b> chez le chien et le chat</span>
popItems2_guide_text_col2_list;;Antibiothérapie chez la femelle gravide ou allaitante
popItems2_guide_text_col2_list;;Pyélonéphrites chez le chien


