key;ref;value;
title;The best way for the cure;Une bonne voie vers la guérison
popin3_question4_sub2;#¿NOMBRE?;Données de praticité
popin3_question4_sub2;#¿NOMBRE?;Données d'observance
popin3_button;Further information on www.request-guidelines.org;Plus d'informations sur www.request-guidelines.org
popin3a_title;REQUEST members;Membres REQUEST
popin3a_members1;Pr. JP Cotard;Pr. JP Cotard
popin3a_members1;Pr. HJ Boulouis;Pr. HJ Boulouis
popin3a_members1;Dr. S Caney;Dr. S Caney
popin3a_members1;Pr. G DuprÃ©;Pr. G Dupré
popin3a_members1;Pr. AM Farca;Pr. AM Farca
popin3a_members1;Dr. J Fontaine;Dr. J Fontaine
popin3a_members1;Pr. M Kietzmann;Pr. M Kietzmann
popin3a_members1;Pr. R Lechowski;Pr. R Lechowski
popin3b_title;REQUEST grading table;Tableau de classement REQUEST
popin3b_table_titre;GRADE;NIVEAU
popin3b_table_titre;SIGNIFICANCE;SIGNIFICATION
popin3b_table_list;High quality evidence with coherence between pharmacokinetic, pharmacodynamic and clinical data that make this kind of recommendation a mandatory proper usage of Fluoroquinolones among companion animals or specific species.;Haut niveau de preuve avec cohérence des données pharmacocinétiques, pharmacodynamiques et cliniques, qui conduit à une recommandation de bon usage obligatoire des fluoroquinolones chez les animaux de compagnie ou certaines espèces spécifiques.
popin3b_table_list;High or good quality evidence with coherence between pharmacokinetic, pharmacodynamic and clinical data despite the fact that some data are missing that make this kind of recommendation a relevant proper usage of Fluoroquinolones among companion animals or specific species until additional data are available.;Haut ou bon niveau de preuve avec cohérence des données pharmacocinétiques, pharmacodynamiques et cliniques, malgré l'absence de certaines données, qui conduit à une recommandation de bon usage raisonné des fluoroquinolones chez les animaux de compagnie ou certaines espèces spécifiques jusqu'à la publication de données supplémentaires.
popin3b_table_list;High or good quality evidence with possible discrepancy between pharmacokinetic, pharmacodynamic and clinical data (whether missing or not) that make this kind of recommendation a current possible usage of Fluoroquinolones among companion animals or specific species until additional data are available.;Haut ou bon niveau de preuve avec divergences possibles entre les données pharmacocinétiques, pharmacodynamiques et cliniques (manquantes ou non), qui conduit à une recommandation d'usage actuel possible des fluoroquinolones chez les animaux de compagnie ou certaines espèces spécifiques jusqu'à la publication de données supplémentaires.
popin3b_table_list;Insufficient or poor quality evidence despite consensus among experts that make this kind of recommendation a cautious usage of Fluoroquinolones among companion animals or specific species. Requires that veterinary schools, and/or pharmaceutical companies, conduct specific research and publish related results in order to reassess the recommendation as soon as possible.;Niveau de preuve insuffisant ou mauvais malgré l'existence d'un consensus parmi les experts qui conduit à une recommandation d'usage prudent des fluoroquinolones chez les animaux de compagnie ou certaines espèces spécifiques. Il est nécessaire que les écoles vétérinaires, et/ou les laboratoires pharmaceutiques, réalisent des études spécifiques et publient leurs résultats pour réévaluer la recommandation dès que possible.
popin3b_table_list;High or good quality evidence with possible discrepancy between pharmacokinetic, pharmacodynamic and clinical data (whether missing or not) that recommend not to use Fluoroquinolones among companion animals or specific species until additional data are available.;Haut ou bon niveau de preuve avec divergences possibles entre les données pharmacocinétiques, pharmacodynamiques et cliniques (manquantes ou non), qui conduit à déconseiller l'usage des fluoroquinolones chez les animaux de compagnie ou certaines espèces spécifiques jusqu'à la publication de données supplémentaires.
popin3b_table_list;Absence of evidence to use Fluoroquinolones among companion animals or specific species. Requires that veterinary schools, and/or pharmaceutical companies, conduct specific research and publish related results in order to reassess the recommendation as soon as possible.;Absence de preuve pour l'usage des fluoroquinolones chez les animaux de compagnie ou certaines espèces spécifiques. Il est nécessaire que les écoles vétérinaires, et/ou les laboratoires pharmaceutiques, réalisent des études spécifiques et publient leurs résultats pour réévaluer la recommandation dès que possible.
